Title,URLs
"Dnergieverslindende bedrijven besparen stevig op energieverbruik",https://dev.tariefchecker.be/artikels/actualiteit/energieverslindende-bedrijven,
"Doel 1 &#038; 2 krijgen wederom geen certificaat",https://dev.tariefchecker.be/artikels/actualiteit/doel-1-2-krijgen-wederom-geen-certificaat,
"Duitsers slagen waar Belgen falen: Windpark zonder subsidie",https://dev.tariefchecker.be/artikels/actualiteit/duitsers-slagen-waar-belgen-falen-windpark-zonder-subsidie,
"Duurzame Chinese energie voor Europa?",https://dev.tariefchecker.be/artikels/actualiteit/chinese-energie,
Ebem,https://dev.tariefchecker.be/energie/energieleveranciers-belgie/ebem,
Ecoflex,https://dev.tariefchecker.be/energie/energieleveranciers-belgie/edf-luminus/ecoflex,
"EDF Luminus",https://dev.tariefchecker.be/energie/energieleveranciers-belgie/edf-luminus,
"Electrabel change son nom en ENGIE Electrabel",https://dev.tariefchecker.be/articles/actualite/electrabel-change-son-nom-en-engie-electrabel,
"Electrabel Customer Solutions (ECS)",https://dev.tariefchecker.be/nieuws/electrabel-customer-solutions-ecs,
"Electrabel Customer Solutions (ECS)",https://dev.tariefchecker.be/nieuws/electrabel-customer-solutions-ecs-d1,
"Electrabel wordt ENGIE Electrabel",https://dev.tariefchecker.be/artikels/actualiteit/electrabel-wordt-engie-electrabel,
Elegant,https://dev.tariefchecker.be/energie/energieleveranciers-belgie/elegant,
Elegant,https://dev.tariefchecker.be/nieuws/elegant-d1,
Elegant,https://dev.tariefchecker.be/nieuws/elegant-d3,
"Elektriciteit dubbel zo duur op twee jaar tijd",https://dev.tariefchecker.be/artikels/actualiteit/elektriciteit-dubbel-zo-duur-op-twee-jaar-tijd,
"Elektriciteit in België duurder dan in buurlanden",https://dev.tariefchecker.be/artikels/actualiteit/elektriciteit-duurder-belgie-dan-buurlanden,
"Elke woning een Woningpas",https://dev.tariefchecker.be/artikels/actualiteit/elke-woning-een-woningpas,
Eneco,https://dev.tariefchecker.be/nieuws/eneco-d1,
Eneco,https://dev.tariefchecker.be/nieuws/eneco-d3,
Eneco,https://dev.tariefchecker.be/energie/energieleveranciers-belgie/eneco,
Energie,https://dev.tariefchecker.be/energie,
"Energie 2030",https://dev.tariefchecker.be/energie/energieleveranciers-belgie/energie2030,
"Energie besparen in het najaar? Dat doe je zo!",https://dev.tariefchecker.be/artikels/actualiteit/energie-besparen-najaar,
"Energie besparen tijdens de zomer? Regel je ketel bij!",https://dev.tariefchecker.be/artikels/energie-besparen/energie-besparen,
"Energie in één klap 110 euro duurder",https://dev.tariefchecker.be/artikels/actualiteit/energie-110-euro-duurder,
"Energiecentrales kunnen dicht in 2025&#8230; Als de regering in actie schiet",https://dev.tariefchecker.be/artikels/actualiteit/energiecentrales-kunnen-dicht-in-2025-als-de-regering-in-actie-schiet,
"Energiefactuur duurder de voorbije 6 maanden",https://dev.tariefchecker.be/artikels/actualiteit/energiefactuur-duurder,
"Energiefactuur stijgt door te dure windmolens",https://dev.tariefchecker.be/artikels/actualiteit/energiefactuur-stijgt-door-te-dure-windmolens,
"Energiefactuur vaak te complex",https://dev.tariefchecker.be/artikels/actualiteit/energiefactuur-vaak-te-complex,
"Energiefactuur vorig jaar weer 68 euro duurder!",https://dev.tariefchecker.be/artikels/actualiteit/energiefactuur-duurder-2,
"Energieheffing fors lager dan voorheen",https://dev.tariefchecker.be/artikels/actualiteit/energieheffing-fors-lager-dan-voorheen,
"Energiekost maakt België minder aantrekkelijk voor bedrijven",https://dev.tariefchecker.be/artikels/actualiteit/energiekost-belgie,
"Energiekost zorgt voor heel wat gezinnen die overstappen",https://dev.tariefchecker.be/artikels/actualiteit/energiekost-overstappen,
"Energieleverancier Belpower buiten dienst gesteld door VREG",https://dev.tariefchecker.be/artikels/actualiteit/energieleverancier-belpower-buiten-dienst-gesteld-door-vreg,
"Energieleveranciers in België",https://dev.tariefchecker.be/energie/energieleveranciers-belgie,
"Energieleveranciers mogen terug indexeren, vergelijken belangrijker dan ooit!",https://dev.tariefchecker.be/artikels/actualiteit/energieleveranciers-mogen-terug-indexeren-vergelijken-belangrijker-dan-ooit,
"Energieleveranciers vergelijken en de goedkoopste kiezen &#8211; hoe begin ik eraan?",https://dev.tariefchecker.be/faq/energieleveranciers-vergelijken-en-de-goedkoopste-kiezen-hoe-begin-ik-eraan,
"Energieleveranciers vergelijken voor professionele afnemers",https://dev.tariefchecker.be/energie/professionele-afnemers,
"Energieleveranciers zien steeds meer klanten in de problemen komen",https://dev.tariefchecker.be/artikels/actualiteit/energieleveranciers-zien-steeds-meer-klanten-in-de-problemen-komen,
"Energieministers sluiten akkoord over het Energiepact",https://dev.tariefchecker.be/artikels/actualiteit/energieministers-sluiten-akkoord-over-het-energiepact,
"Energieverbruik minderen? Pas deze 5 tips toe!",https://dev.tariefchecker.be/artikels/energie-besparen/tips-besparen-energieverbruik,
"Energy People",https://dev.tariefchecker.be/energie/energieleveranciers-belgie/energy-people,
"Energy People draagt activiteiten over aan Mega",https://dev.tariefchecker.be/artikels/actualiteit/energy-people-activiteiten-mega,
"ENGIE Electrabel",https://dev.tariefchecker.be/energie/energieleveranciers-belgie/engie-electrabel,
"ENGIE Electrabel Active en BOXX objectief beoordeeld",https://dev.tariefchecker.be/artikels/actualiteit/engie-electrabel-active-boxx,
Eni,https://dev.tariefchecker.be/energie/energieleveranciers-belgie/eni,
"Eni (avant Nuon)",https://dev.tariefchecker.be/nieuws/eni-avant-nuon,
"Eni (vroeger Nuon)",https://dev.tariefchecker.be/nieuws/eni-vroeger-nuon,
Essent,https://dev.tariefchecker.be/energie/energieleveranciers-belgie/essent,
Essent,https://dev.tariefchecker.be/nieuws/essent-d1,
Essent,https://dev.tariefchecker.be/nieuws/essent-d3,
FAQ,https://dev.tariefchecker.be/energie/faq,
"Geen verbrekingsvergoedingen meer voor particulieren en KMO&#8217;s",https://dev.tariefchecker.be/faq/geen-verbrekingsvergoedingen-meer-voor-particulieren-en-kmo-s,
"Gezinnen draaien op voor groenestroombeleid",https://dev.tariefchecker.be/artikels/actualiteit/gezinnen-draaien-op-voor-groenestroombeleid,
"Goedkoopste 3 JAAR VAST tarief",https://dev.tariefchecker.be/nieuws/goedkoopste-3-jaar-vast-tarief,
"Goedkoopste energieleverancier vergelijken. Regio Leuven, Mechelen, Tienen en de Vlaamse Rand",https://dev.tariefchecker.be/energie/goedkoopste-energieleverancier-vergelijken-regio-leuven-mechelen-tienen-en-de-vlaamse-rand,
"Goedkopere energie zorgt voor duizenden banen",https://dev.tariefchecker.be/artikels/actualiteit/goedkopere-energie-zorgt-voor-duizenden-banen,
"Groene stroom op schema in Vlaanderen",https://dev.tariefchecker.be/artikels/actualiteit/vlaanderen-produceert-meer-groene-stroom,
"Groene stroom wint fors terrein",https://dev.tariefchecker.be/artikels/actualiteit/groene-stroom-wint-fors-terrein,
"Groepsaankoop Antwerpen: veel duurder dan standaard aanbiedingen",https://dev.tariefchecker.be/artikels/actualiteit/groepsaankoop-antwerpen-veel-duurder,
"Groepsaankoop Energie Provincie Antwerpen is niet de goedkoopste",https://dev.tariefchecker.be/artikels/actualiteit/groepsaankoop-energie-provincie-antwerpen-is-niet-de-goedkoopste,
"Groepsaankoop niet altijd voordeliger",https://dev.tariefchecker.be/artikels/actualiteit/groepsaankoop-niet-altijd-voordeliger,
"Groepsaankopen gas en elektriciteit: voordelig of niet?",https://dev.tariefchecker.be/faq/groepsaankopen-gas-en-elektriciteit,
"Haal je nog rendement uit je zonnepanelen?",https://dev.tariefchecker.be/artikels/actualiteit/rendement-zonnepanelen,
"Hernieuwbare energie schept banen!",https://dev.tariefchecker.be/artikels/actualiteit/hernieuwbare-energie-banen,
"Hernieuwbare energie steekt steenkool de loef af",https://dev.tariefchecker.be/artikels/actualiteit/hernieuwbare-energie-steekt-steenkool-de-loef-af,
"Hernieuwbare energie voor elk budget haalbaar",https://dev.tariefchecker.be/artikels/actualiteit/hernieuwbare-energie-voor-elk-budget-haalbaar,
"Het afschakelplan bij stroomtekort: nu ook de straten gekend",https://dev.tariefchecker.be/artikels/actualiteit/het-afschakelplan-bij-stroomtekort-nu-ook-de-straten-gekend,
"Het capaciteitstarief en zonnepanelen: Verhoogt uw energiefactuur?",https://dev.tariefchecker.be/artikels/actualiteit/zonnepanelen-capaciteitstarief-elektriciteitsfactuur,
"Het capaciteitstarief? Een stand van zaken!",https://dev.tariefchecker.be/artikels/actualiteit/het-capaciteitstarief-een-stand-van-zaken,
"Het einde van de Turteltaks: Wat betekent dit voor jou?",https://dev.tariefchecker.be/artikels/actualiteit/het-einde-van-de-turteltaks-wat-betekent-dit-voor-jou,
"Het EPC in een notendop",https://dev.tariefchecker.be/faq/epc,
"Historiek tariefkaarten gas en elektriciteit",https://dev.tariefchecker.be/energie/tariefkaarten,
"Hoe groen is mijn energieleverancier?",https://dev.tariefchecker.be/artikels/dossiers-uit-de-energiesector/hoe-groen-is-mijn-energieleverancier,
"Hoe kan ik best mijn besparing berekenen?",https://dev.tariefchecker.be/faq/hoe-kan-ik-best-mijn-besparing-berekenen,
"Hoe kan ik mijn energieverbruik kennen?",https://dev.tariefchecker.be/faq/hoe-energieverbruik-kennen,
"Hoe verander ik van energieleverancier in 2 stappen?",https://dev.tariefchecker.be/faq/veranderen-energieleverancier,
"Hoe vermijd ik een hoge slotafrekening na mijn leverancierswissel?",https://dev.tariefchecker.be/faq/hoe-vermijd-ik-een-hoge-slotafrekening-na-mijn-leverancierswissel,
"Hoe volledig en correct energieleveranciers vergelijken?",https://dev.tariefchecker.be/faq/hoe-volledig-en-correct-energieleveranciers-vergelijken,
"Hoe zonne-energie opslaan en verspilling tegen gaan?",https://dev.tariefchecker.be/artikels/actualiteit/hoe-zonne-energie-opslaan-en-verspilling-tegen-gaan,
"Hoeveel is jouw energiefactuur gestegen de laatste jaren?",https://dev.tariefchecker.be/artikels/actualiteit/hoeveel-is-jouw-energiefactuur-gestegen-de-laatste-jaren,
"Hof van Beroep bevestigt prosumententarief",https://dev.tariefchecker.be/artikels/actualiteit/hof-van-beroep-bevestigt-prosumententarief,
"Hoge energiefactuur? Zo kun je besparen!",https://dev.tariefchecker.be/artikels/actualiteit/hoge-energiefactuur-besparen,
Home,https://dev.tariefchecker.be/,
"Houd rekening met stijgende energieprijzen de komende jaren",https://dev.tariefchecker.be/artikels/actualiteit/stijgende-energieprijzen,
"In februari 2015 is energie het goedkoopst ooit!",https://dev.tariefchecker.be/artikels/actualiteit/in-februari-2015-is-energie-het-goedkoopst-ooit,
"Intercommunales werden de voorbije 6 jaar 1 miljard euro rijker",https://dev.tariefchecker.be/artikels/actualiteit/intercommunales-werden-de-voorbije-6-jaar-1-miljard-euro-rijker,
"Is de slimme meter dan toch niet slim?",https://dev.tariefchecker.be/artikels/actualiteit/is-de-slimme-meter-dan-toch-niet-slim,
"Is een slimme thermostaat wat voor jou?",https://dev.tariefchecker.be/artikels/actualiteit/is-een-slimme-thermostaat-wat-voor-jou,
"Is thorium de nieuwe heilige graal in energievoorziening?",https://dev.tariefchecker.be/artikels/dossiers-uit-de-energiesector/is-thorium-de-nieuwe-heilige-graal-in-energievoorziening,
"Je energiecontract opzeggen &#8211; wat als je geen nieuwe leverancier kiest?",https://dev.tariefchecker.be/faq/je-energiecontract-opzeggen-wat-als-je-geen-nieuwe-leverancier-kiest,
"Je energiekosten ontleed",https://dev.tariefchecker.be/artikels/actualiteit/je-energiekosten-ontleed,
"Jouw energiefacturen begrijpen: wat zijn voorschotten en afrekening?",https://dev.tariefchecker.be/faq/energiefactuur-voorschotten-afrekening,
"Jouw energiefactuur wordt eindelijk overzichtelijker",https://dev.tariefchecker.be/artikels/actualiteit/jouw-energiefactuur-wordt-overzichtelijker,
"Jouw woonplaats heeft impact op je energiefactuur",https://dev.tariefchecker.be/artikels/actualiteit/woonplaats-impact-energiefactuur,
"Kerncentrales langer openhouden is geen oplossing",https://dev.tariefchecker.be/artikels/actualiteit/kerncentrales-langer-openhouden-is-geen-oplossing,
"Kerncentrales van Doel liggen al stil tot december",https://dev.tariefchecker.be/artikels/actualiteit/kerncentrales-van-doel-liggen-stil-tot-december,
"Kernuitstap hoogstwaarschijnlijk uitgesteld om bevoorradingsproblemen te milderen",https://dev.tariefchecker.be/artikels/actualiteit/kernuitstap-hoogstwaarschijnlijk-uitgesteld-om-bevoorradingsproblemen-te-milderen,
"Kijk uit met huis-aan-huisverkopers van energie",https://dev.tariefchecker.be/artikels/actualiteit/kijk-uit-huis-aan-huisverkopers-energie,
"Klimaatverandering zorgt voor meer stroomstoringen",https://dev.tariefchecker.be/artikels/actualiteit/klimaatverandering-zorgt-voor-meer-stroomstoringen,
"Komt er een oplossing voor de teveel betaalde energiebijdrage?",https://dev.tariefchecker.be/artikels/actualiteit/komt-er-een-oplossing-voor-de-teveel-betaalde-energiebijdrage,
"Kopie: Maandelijks overzicht goedkoopste Elektriciteitstarieven",https://dev.tariefchecker.be/energie/goedkoopste-elektriciteit-2,
"Korting op de federale elektriciteitsbijdrage in 2018 en 2019",https://dev.tariefchecker.be/artikels/actualiteit/korting-federale-elektriciteitsbijdrage,
"Kostprijs van energie in België hoog in vergelijking met buurlanden",https://dev.tariefchecker.be/artikels/actualiteit/kostprijs-energie-hoog,
"Krijg persoonlijke opvolging en bescherm je voor altijd van dure energieprijzen",https://dev.tariefchecker.be/krijg-persoonlijke-opvolging-en-bescherm-je-voor-altijd-van-dure-energieprijzen,
"Laagste-prijs garantie",https://dev.tariefchecker.be/energie/laagste-prijs-garantie,
Lampiris,https://dev.tariefchecker.be/nieuws/lampiris-d1,
Lampiris,https://dev.tariefchecker.be/nieuws/lampiris-d3,
Lampiris,https://dev.tariefchecker.be/energie/energieleveranciers-belgie/lampiris,
"Lijst distributienetbeheerder per postcode",https://dev.tariefchecker.be/faq/lijst-distributienetbeheerder-per-postcode,
"Loont investeren in zonnepanelen?",https://dev.tariefchecker.be/artikels/actualiteit/investeren-zonnepanelen,
Luminus,https://dev.tariefchecker.be/supplier/luminus,
Luminus,https://dev.tariefchecker.be/nieuws/luminus-d2,
Luminus,https://dev.tariefchecker.be/nieuws/luminus-d4,
"Maandelijks overzicht goedkoopste Elektriciteitstarieven",https://dev.tariefchecker.be/energie/goedkoopste-elektriciteit,
"Maandelijks overzicht goedkoopste Gas + Elektriciteitstarieven",https://dev.tariefchecker.be/energie/goedkoopste-gas-elektriciteit,
"Maatregelen in 2015 met (verhogend) effect op uw energiefactuur",https://dev.tariefchecker.be/artikels/actualiteit/maatregelen-in-2015-met-verhogend-effect-op-uw-energiefactuur,
"Meer afbetalingsplannen voor gas en elektriciteit",https://dev.tariefchecker.be/nieuws/meer-afbetalingsplannen-voor-gas-en-elektriciteit,
"Meer en meer klachten bij de federale ombudsdienst Energie",https://dev.tariefchecker.be/artikels/actualiteit/meer-en-meer-klachten-bij-de-federale-ombudsdienst-energie,
Mega,https://dev.tariefchecker.be/nieuws/mega-d1,
Mega,https://dev.tariefchecker.be/nieuws/mega-d3,
Mega,https://dev.tariefchecker.be/energie/energieleveranciers-belgie/mega,
"Minder energieleveranciers, hogere prijzen?",https://dev.tariefchecker.be/artikels/actualiteit/minder-energieleveranciers-hogere-prijzen,
"Na-isolatie van je woning: tot 50% minder verwarmingskosten",https://dev.tariefchecker.be/artikels/energie-besparen/na-isolatie-van-je-woning-tot-50-minder-verwarmingskosten,
"Netbeheerders blijven puike kwaliteit afleveren",https://dev.tariefchecker.be/artikels/actualiteit/netbeheerders-blijven-puike-kwaliteit-afleveren,
"Nog geen geld voor gas-switch",https://dev.tariefchecker.be/artikels/actualiteit/nog-geen-geld-voor-gas-switch,
"Nooit zoveel energie uit het buitenland",https://dev.tariefchecker.be/artikels/actualiteit/energie-uit-het-buitenland,
"Norther windmolenpark zorgt voor elektriciteit voor 400.000 gezinnen",https://dev.tariefchecker.be/artikels/actualiteit/norther-windmolenpark-zorgt-voor-elektriciteit-voor-400-000-gezinnen,
Octa+,https://dev.tariefchecker.be/nieuws/octa,
Octa+,https://dev.tariefchecker.be/nieuws/octa-d1,
Octaplus,https://dev.tariefchecker.be/energie/energieleveranciers-belgie/octaplus,
"Onafhankelijk, gratis &#038; correct energieleveranciers vergelijken",https://dev.tariefchecker.be/onafhankelijk-gratis-correct-energieleveranciers-vergelijken,
"Onrealistische energienormen jagen de kosten de hoogte in",https://dev.tariefchecker.be/artikels/actualiteit/onrealistische-energienormen-jagen-de-kosten-de-hoogte-in,
"Ons team",https://dev.tariefchecker.be/ons-team,
"Ook de industrie is stijgende energieprijzen beu!",https://dev.tariefchecker.be/artikels/actualiteit/ook-de-industrie-is-stijgende-energieprijzen-beu,
"Oorlog in de energiesector? Doe er je voordeel mee!",https://dev.tariefchecker.be/artikels/actualiteit/oorlog-in-de-energiesector-doe-er-je-voordeel-mee,
"Opbrengst zonnedelen niet te zien op energiefactuur",https://dev.tariefchecker.be/nieuws/opbrengst-zonnedelen-energiefactuur,
"Opinie: moet energie goedkoper worden, of net niet?",https://dev.tariefchecker.be/artikels/actualiteit/opinie-moet-energie-goedkoper-worden-of-net-niet,
"Over Tariefchecker.be",https://dev.tariefchecker.be/over-tariefchecker-be,
"Overheid investeert fors in energie-efficiëntie",https://dev.tariefchecker.be/artikels/actualiteit/overheid-investeert-fors-in-energie-efficientie,
"Oversubsidie van hernieuwbare stroom moet gedragen worden door de Vlaamse regering",https://dev.tariefchecker.be/artikels/actualiteit/oversubsidie-van-hernieuwbare-stroom-moet-gedragen-worden-door-de-vlaamse-regering,
"Pagina niet gevonden",https://dev.tariefchecker.be/pagina-niet-gevonden,
"Particulieren profiteren niet van goedkope energie",https://dev.tariefchecker.be/artikels/actualiteit/particulieren-profiteren-niet-van-goedkope-energie,
Partners,https://dev.tariefchecker.be/partners-d1,
"Persoonlijke opvolging",https://dev.tariefchecker.be/persoonlijke-opvolging,
Poweo,https://dev.tariefchecker.be/energie/energieleveranciers-belgie/poweo,
Poweo,https://dev.tariefchecker.be/nieuws/poweo-d2,
Poweo,https://dev.tariefchecker.be/nieuws/poweo-d4,
"Record aantal gezinnen en bedrijven veranderde van energieleverancier in 2016",https://dev.tariefchecker.be/artikels/actualiteit/record-aantal-gezinnen-en-bedrijven-veranderde-van-energieleverancier-in-2016,
"Recordaantal gezinnen en bedrijven switchen van energieleverancier",https://dev.tariefchecker.be/artikels/actualiteit/recordaantal-gezinnen-en-bedrijven-switchen-van-energieleverancier,
"Schone technologieën lopen hopeloos achter",https://dev.tariefchecker.be/artikels/actualiteit/schone-technologieen-lopen-hopeloos-achter,
Sitemap,https://dev.tariefchecker.be/sitemap-d1,
"Sociale fraude opsporen adhv de energie- en waterfactuur?",https://dev.tariefchecker.be/artikels/actualiteit/sociale-fraude-opsporen-adhv-de-energie-en-waterfactuur,
